name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
the travelers companies inc,"newyork,ny,unitedstates",united states,, 1853," 30,184",alan david schnitzer,,45560000000,,,financials,,
idexx laboratories inc,"westbrook,me,unitedstates",united states,, 1983," 10,350",jonathan j mazelsky,,45640000000,,,healthcare,,
vodafone group plc,"newbury,unitedkingdom",united kingdom,, 16 september 1991," 105,000",nicholas jonathan read,,45740000000,,,communication services,,
vanjia corp,"houston,tx,unitedstates",united states,,,,su hua tian,,45740000000,,,consumer discretionary,,
amphenol corporation,"wallingford,ct,unitedstates",united states,, 1932," 90,000",richard adam norwitt,,45770000000,,,technology,,
the hershey company,"hershey,pa,unitedstates",united states,," february 8, 1894"," 16,620",michele gross buck,,45830000000,,,consumer staples,,
takeda pharmaceutical company limited,"tokyo,japan",japan,," doshomachi, osaka, japan june 12, 1781"," 47,099",christophe weber,,45890000000,,,healthcare,,
baidu inc,"beijing,china",china,," january 1, 2000"," 45,500",yanhong li,,45980000000,,,communication services,,
sika ag,"baar,switzerland",switzerland,,," 26,272",,,46010000000,,,basic materials,,
adidas ag,"herzogenaurach,germany",germany,,," 53,870",kasper bo rorsted,,46130000000,,,consumer discretionary,,
nidec corp,"kyoto,japan",japan,,, 758,jun seki,,46330000000,,,industrials,,
banco bradesco sa,"osasco,sp,brazil",brazil,," march 10, 1943"," 85,264",octavio de lazari jr junior,,46710000000,,,financials,,
